sno,h,sub_h,link
1,63-yr-old killed in Road accident,,https://timesofindia.indiatimes.com/city/nashik/63-yr-old-killed-in-road-accident/articleshow/102371047.cms
2,Three-vehicle collision hits GB rd traffic,"In a freak mishap, a container truck, a loaded trailer and a car collided near Gaikmukh and led to a major traffic jam on the Mumbai-bound lane of Ghodbunder Road and Ahmedabad highway on Tuesday morning, officials informed.",https://timesofindia.indiatimes.com/city/thane/three-vehicle-collision-hits-gb-rd-traffic/articleshow/102332879.cms
3,Two bikers killed in separate accidents,A 48-year-old and a 57-year-old motorcyclist were killed in two separate Road accidents on Saturday.,https://timesofindia.indiatimes.com/city/pune/two-bikers-killed-in-separate-accidents/articleshow/102260999.cms
4,Maharashtra tribunal directs compensation of Rs 1.49 cr to wife and children of Road accident victim,"Five years on, the Thane Motor Accident Claims Tribunal has ordered that a compensation of Rs 1.49 crore be paid to a 39-year-old woman and her two children.",https://timesofindia.indiatimes.com/city/thane/maharashtra-tribunal-directs-compensation-of-rs-1-49-cr-to-wife-and-children-of-road-accident-victim/articleshow/102140315.cms
5,"6 dead, 5 injured in Road accident on Mumbai-Nashik highway",Six people were killed whereas five others sustained injuries after a container hit a jeep near Padgha-Khadavali turning point on Mumbai-Nashik highway on Tuesday morning.,https://timesofindia.indiatimes.com/city/thane/4-dead-5-injured-in-road-accident-on-mumbai-nashik-highway/articleshow/101849590.cms
6,Senior citizen killed in Nashik Road accident,,https://timesofindia.indiatimes.com/city/nashik/senior-citizen-killed-in-nashik-road-accident/articleshow/101559055.cms
7,3 killed in Road accidents in Nashik district,,https://timesofindia.indiatimes.com/city/nashik/3-killed-in-road-accidents-in-nashik-district/articleshow/101472219.cms
8,2 kids among three dead in Road accident,,https://timesofindia.indiatimes.com/city/nagpur/2-kids-among-three-dead-in-road-accident/articleshow/101652612.cms
9,36-year-old man dies in Road accident,,https://timesofindia.indiatimes.com/city/nagpur/36-year-old-man-dies-in-road-accident/articleshow/101606564.cms
10,2 killed in separate accidents on Trimbak Road,,https://timesofindia.indiatimes.com/city/nashik/2-killed-in-separate-accidents-on-trimbak-road/articleshow/101683196.cms
11,Police naik killed in bike accident,,https://timesofindia.indiatimes.com/city/nashik/police-naik-killed-in-bike-accident/articleshow/101623832.cms
12,Four of family killed as MUV hits wall on Samruddhi Expressway,Four members of a family died when their vehicle hit a roadside wall on Samruddhi highway near Sinnar on Monday.,https://timesofindia.indiatimes.com/city/nashik/four-of-family-killed-as-muv-hits-wall-on-samruddhi-expressway/articleshow/100932875.cms
13,40-year-old driver from Gujarat dies in Road accident in Thane,A 40-year-old driver from Gujarat died in a freak mishap at Ghodbunder road during the wee hours of Saturday after a container truck collided with another cargo-carrying truck from behind.,https://timesofindia.indiatimes.com/city/thane/40-year-old-driver-from-gujarat-dies-in-road-accident-in-thane/articleshow/101772479.cms
